#time (ps)	H2O
0.475	-0.00214549037800687
0.45	-0.00121857340206186
0.425	-3.62630316151203E-4
0.4	3.14881835051546E-4
0.375	9.2285381443299E-4
0.35	0.00139368618556701
0.325	0.0016544024742268
0.3	0.00204026240549828
0.275	0.00187561855670103
0.25	0.00213455065292096
0.225	0.00244837759450172
0.2	0.00249914261168385
0.175	0.0028116341580756
0.15	0.00311885491408935
0.125	0.00335750178694158
0.1	0.00335202838487972
0.075	0.00358711855670103
0.05	0.00357788838487972
0.025	0.00370336068728522
0	0.00376617319587629
-0.025	0.00356393896907216
-0.05	0.00342687518900344
-0.075	0.00323652405498282
-0.1	0.00295974068728522
-0.125	0.0026058418556701
-0.15	0.00223730865979381
-0.175	0.00182844487972509
-0.2	0.00161238041237113
-0.225	0.00123016261168385
-0.25	0.00105979917525773
-0.275	8.75333333333333E-4
-0.3	6.44271615120275E-4
-0.325	5.10068989690722E-4
-0.35	3.57282859106529E-4
-0.375	3.45024563573883E-4
-0.4	3.4917452233677E-4
-0.425	2.64878426116839E-4
-0.45	1.62988515463918E-4
-0.475	1.36885546391753E-4
-0.5	1.72373649484536E-4
-0.525	1.73837003436426E-4
-0.55	1.93087298969072E-4
-0.575	4.96833017182131E-5
-0.6	6.47445965635739E-5
-0.625	1.10859498281787E-4
-0.65	5.82252597938144E-5
-0.675	-3.14254735395189E-5
-0.7	-3.70988391752577E-6
-0.725	1.06406391752577E-4
-0.75	4.03082886597938E-7
-0.775	6.16190151202749E-5
-0.8	-2.50200343642612E-5
-0.825	1.20728756013746E-5
-0.85	-8.09812920962199E-5
-0.875	-2.55859800687285E-5
-0.9	1.79364817869416E-5
-0.925	-9.29371615120275E-7
-0.95	2.22487608247423E-5
-0.975	1.93617182130584E-6
-1	-8.63002542955326E-6
-1.025	9.57666666666667E-5
-1.05	6.03070618556701E-6
-1.075	-2.20406453608247E-5
-1.1	-1.00106501718213E-4
-1.125	-2.06060295532646E-5
-1.15	1.1847704467354E-5
-1.175	-1.00754920962199E-4
-1.2	2.3474760137457E-5
-1.225	-3.10213340206186E-5
-1.25	-4.94562611683849E-5
-1.275	1.33541738831615E-5
-1.3	4.79543010309278E-5
-1.325	-2.19926536082474E-5
-1.35	-8.48681305841924E-5
-1.375	9.98838900343643E-5
-1.4	-4.50705285223368E-6
-1.425	-2.11454151202749E-5
-1.45	6.77131298969072E-5
-1.475	-1.41651003436426E-4
-1.5	-1.45265312714777E-4
-1.525	-2.00562536082474E-5
-1.55	5.68545250859107E-5
-1.575	-6.16326336769759E-5
-1.6	-3.5800206185567E-5
-1.625	7.26267216494845E-5
-1.65	-3.51614659793814E-5
-1.675	-1.06695360824742E-4
-1.7	-4.98808027491409E-5
-1.725	-9.70346323024055E-5
-1.75	-1.21365773195876E-4
-1.775	-3.31202886597938E-5
-1.8	8.86083573883162E-5
-1.825	-1.64779140893471E-4
-1.85	-1.47425917525773E-5
