time (ps)	Na2CO3 / 0.25M	time (ps)	Na2CO3 / 0.1M
-0.21	-7.43383824857143E-4	9.75	6.5288089E-5
-0.185	-6.71940660571429E-4	9.725	3.34773056571429E-5
-0.16	-1.54818858285714E-4	9.7	2.88149454285714E-6
-0.135	5.05253161428571E-4	9.675	-2.22828442857145E-7
-0.11	0.00124508872857143	9.65	1.41307866228571E-5
-0.085	0.00219285284857143	9.625	1.554573774E-5
-0.06	0.00288370566	9.6	-4.94928268342857E-5
-0.035	0.00348878736	9.575	-3.67243783857143E-5
-0.01	0.00403039304571429	9.55	-4.83434025142857E-5
0.015	0.00411603260285714	9.525	-2.44200048571428E-5
0.04	0.00366266241428571	9.5	5.7392372E-5
0.065	0.00308167108285714	9.475	1.28983608428571E-4
0.09	0.00235765190285714	9.45	1.36922271257143E-4
0.115	0.00148477563714286	9.425	1.353037542E-4
0.14	7.90311008571429E-4	9.4	1.00947317485714E-4
0.165	2.78165564571429E-4	9.375	8.42173894E-5
0.19	-2.32122486857143E-4	9.35	9.28071826571429E-5
0.215	-7.36751205714286E-4	9.325	7.48188122428571E-5
0.24	-0.001133869432	9.3	1.06894956588571E-4
0.265	-0.00171624651142857	9.275	9.93923240371428E-5
0.29	-0.00218765163714286	9.25	1.11562370702857E-4
0.315	-0.00236692145142857	9.225	1.35438382157143E-4
0.34	-0.00255248872	9.2	1.15113727828571E-4
0.365	-0.00272353330285714	9.175	8.53651919142857E-5
0.39	-0.00269652489142857	9.15	3.56308810285714E-5
0.415	-0.00270519708857143	9.125	-2.68827849428571E-5
0.44	-0.00260760826857143	9.1	-5.71021674285714E-5
0.465	-0.00222679339142857	9.075	-1.03389079142857E-4
0.49	-0.00193258334285714	9.05	-1.23960779E-4
0.515	-0.00183004919428571	9.025	-2.40114497142857E-5
0.54	-0.00159987085428571	9	2.611347E-6
0.565	-0.00151640547028571	8.975	-1.35741588571428E-5
0.59	-0.00156620472514286	8.95	-2.63196182857143E-5
0.615	-0.001583657576	8.925	-6.50770838285714E-5
0.64	-0.00149768610571429	8.9	-1.08031686742857E-4
0.665	-0.00157048489714286	8.875	-1.00576287428571E-5
0.69	-0.00146867771428571	8.85	7.93059290285714E-5
0.715	-0.00128702161571429	8.825	9.51694405714286E-5
0.74	-0.00112964942428571	8.8	8.13735313285714E-5
0.765	-9.1839289E-4	8.775	8.703705904E-5
0.79	-6.13347310857143E-4	8.75	2.244778642E-5
0.815	-5.24631263142857E-4	8.725	1.84816264685714E-5
0.84	-5.62350939714286E-4	8.7	4.29763031857143E-5
0.865	-6.17977866571429E-4	8.675	4.23739878571429E-5
0.89	-8.09919658857143E-4	8.65	6.71530771428571E-5
0.915	-9.3041814E-4	8.625	1.15799577571429E-4
0.94	-9.36130734285714E-4	8.6	1.39832804057143E-4
0.965	-0.00109276076628571	8.575	1.65184240885714E-4
0.99	-0.00125584720142857	8.55	1.75394564057143E-4
1.015	-0.00114871207085714	8.525	1.04584566E-4
1.04	-0.0010780211352	8.5	4.57745645714286E-5
1.065	-0.00101312902531429	8.475	-3.75592780571428E-5
1.09	-8.30875486628571E-4	8.45	-4.90682921714286E-5
