#time (ps)	NaSO4 0.75 M	time (ps)	NaSO4 0.35 M
2	-4.55328838E-4	2.15	-1.68333921971429E-4
2.025	-4.10087148571429E-4	2.175	-1.63349503285714E-4
2.05	-4.10953127142857E-4	2.2	-2.10042688257143E-4
2.075	-3.86982048E-4	2.225	-2.42596934457143E-4
2.1	-3.55247601571429E-4	2.25	-2.00045345828571E-4
2.125	-4.17877254571428E-4	2.275	-1.33552815628571E-4
2.15	-5.45253915E-4	2.3	-8.70254861142857E-5
2.175	-5.11398584E-4	2.325	-8.63285697142857E-5
2.2	-4.76613983E-4	2.35	-2.11190944E-4
2.225	-3.35461537714286E-4	2.375	-2.80657575E-4
2.25	-1.88823460857143E-4	2.4	-3.35477454342857E-4
2.275	-1.56277347428571E-4	2.425	-3.03539780028571E-4
2.3	-2.79342014E-4	2.45	-2.96115705714286E-4
2.325	-2.02120506857143E-4	2.475	-2.76253832114286E-4
2.35	-2.16622507714286E-4	2.5	-2.385613348E-4
2.375	-2.04906541714286E-4	2.525	-1.36689300285714E-4
2.4	-2.57759145142857E-4	2.55	-8.27026229714286E-5
2.425	-3.00975084142857E-4	2.575	-7.61086277142858E-6
2.45	-3.73745840457143E-4	2.6	4.39036465428571E-5
2.475	-3.48205512657143E-4	2.625	-5.12284026571429E-5
2.5	-3.091222396E-4	2.65	-7.90358800857143E-5
2.525	-2.27304366428571E-4	2.675	-1.46101334485714E-4
2.55	-2.16520184571429E-4	2.7	-1.58060715285714E-4
2.575	-1.75703804571429E-4	2.725	-1.37700293542857E-4
2.6	-3.26130861142857E-4	2.75	-5.12679521714286E-5
2.625	-4.35203468857143E-4	2.775	-6.84286484571429E-5
2.65	-6.04415305714286E-4	2.8	-8.25920838285714E-5
2.675	-6.61010151714286E-4	2.825	-1.59092642571429E-4
2.7	-5.88187388428571E-4	2.85	-1.86461785E-4
2.725	-3.99703542971429E-4	2.875	-1.75942734771429E-4
2.75	-3.32279397057143E-4	2.9	-8.07119020285714E-5
2.775	-3.68442995771429E-4	2.925	-5.62670682E-5
2.8	-4.38390624542857E-4	2.95	-1.31514976714286E-4
2.825	-4.82960842228571E-4	2.975	-2.23719065571429E-4
2.85	-5.12836746571429E-4	3	-2.29176111714286E-4
2.875	-5.15936797714286E-4	3.025	-1.63038543142857E-4
2.9	-4.12529878571429E-4	3.05	-1.83071705714286E-5
2.925	-4.20694207857143E-4	3.075	8.33472542285714E-5
2.95	-3.96013365371429E-4	3.1	1.15999303737143E-4
2.975	-3.02583573114286E-4	3.125	2.40158516685714E-5
3	-1.872794188E-4	3.15	-9.712579912E-5
3.025	-1.93512720428571E-4	3.175	-1.77222464342857E-4
3.05	-3.02439706571429E-4	3.2	-1.45304563714286E-4
